102 Portuguese	101A Portuguese
102 Portuguese	101B Portuguese
102 Portuguese	12 Portuguese
103 Portuguese	102 Portuguese
112 Portuguese	12 Portuguese
12 Portuguese	11 Portuguese
128 Portuguese	104 Portuguese
101 Psychology	1 Psychology
110 Psychology	1 Psychology
122 Asian American Studies	20A Asian American Studies
114 Psychology	110 Psychology
117 Psychology	110 Psychology
122 Psychology	101 Psychology
130 Psychology	1 Psychology
133 Psychology	130 Psychology
139 Psychology	130 Psychology
14 Psychology	1 Psychology
140 Psychology	1 Psychology
146 Psychology	110 Psychology
123 Asian American Studies	20A Asian American Studies
150 Psychology	1 Psychology
156 Psychology	1 Psychology
160 Psychology	1 Psychology
164 Psychology	150 Psychology
164 Psychology	160 Psychology
165 Psychology	1 Psychology
166AC Psychology	1 Psychology
166AC Psychology	160 Psychology
167AC Psychology	1 Psychology
C126 Psychology	101 Psychology
C127 Psychology	110 Psychology
C127 Psychology	C120 Psychology
124 Asian American Studies	20A Asian American Studies
C129 Psychology	1 Psychology
N130 Psychology	1 Psychology
100A Punjabi	1A Punjabi
100A Punjabi	1B Punjabi
100B Punjabi	1A Punjabi
100B Punjabi	1B Punjabi
1B Punjabi	1A Punjabi
114 Rhetoric	R1B Rhetoric
116 Rhetoric	103A Rhetoric
125 Asian American Studies	20A Asian American Studies
151 Rhetoric	R1B Rhetoric
176 Rhetoric	R1B Rhetoric
2 Russian	1 Russian
3 Russian	2 Russian
100A Scandinavian	3B Scandinavian
181 Slavic Languages & Lit	103A Slavic Languages & Lit
182 Slavic Languages & Lit	103A Slavic Languages & Lit
R5B Slavic Languages & Lit	R5A Slavic Languages & Lit
101 Sociology	1 Sociology
101 Sociology	3AC Sociology
102 Sociology	1 Sociology
102 Sociology	3AC Sociology
103 Sociology	101 Sociology
103 Sociology	101A Sociology
103 Sociology	102 Sociology
105 Sociology	5 Sociology
127 Asian American Studies	20A Asian American Studies
108 Sociology	5 Sociology
110 Sociology	1 Sociology
110 Sociology	3AC Sociology
111 Sociology	1 Sociology
111 Sociology	3AC Sociology
111C Sociology	3AC Sociology
111P Sociology	1 Sociology
111P Sociology	3AC Sociology
113 Sociology	1 Sociology
113 Sociology	3AC Sociology
113AC Sociology	1 Sociology
113AC Sociology	3AC Sociology
114 Sociology	1 Sociology
114 Sociology	3AC Sociology
116 Sociology	1 Sociology
116 Sociology	3AC Sociology
141 Asian American Studies	20A Asian American Studies
141 Asian American Studies	20B Asian American Studies
117 Sociology	1 Sociology
117 Sociology	3AC Sociology
120 Sociology	1 Sociology
120 Sociology	3AC Sociology
121 Sociology	1 Sociology
121 Sociology	3AC Sociology
123 Sociology	1 Sociology
123 Sociology	3AC Sociology
127 Sociology	1 Sociology
127 Sociology	3AC Sociology
128 Sociology	1 Sociology
128 Sociology	3AC Sociology
130 Sociology	1 Sociology
130 Sociology	3AC Sociology
130AC Sociology	1 Sociology
130AC Sociology	3AC Sociology
131AC Sociology	1 Sociology
131AC Sociology	3AC Sociology
133 Sociology	1 Sociology
133 Sociology	3AC Sociology
150 Asian American Studies	20A Asian American Studies
135 Sociology	1 Sociology
135 Sociology	3AC Sociology
139 Sociology	1 Sociology
139 Sociology	3AC Sociology
140 Sociology	1 Sociology
140 Sociology	3AC Sociology
142 Sociology	1 Sociology
142 Sociology	3AC Sociology
144 Sociology	3AC Sociology
145L Sociology	1 Sociology
145L Sociology	3AC Sociology
146 Sociology	1 Sociology
146 Sociology	3AC Sociology
146AC Sociology	1 Sociology
146AC Sociology	3AC Sociology
148 Sociology	1 Sociology
148 Sociology	3AC Sociology
148 Sociology	5 Sociology
151 Asian American Studies	20A Asian American Studies
151 Asian American Studies	20B Asian American Studies
150 Sociology	3AC Sociology
151 Sociology	1 Sociology
151 Sociology	3AC Sociology
152 Sociology	1 Sociology
152 Sociology	3AC Sociology
160 Sociology	1 Sociology
160 Sociology	3AC Sociology
165 Sociology	3AC Sociology
166 Sociology	1 Sociology
166 Sociology	3AC Sociology
167 Sociology	1 Sociology
167 Sociology	3AC Sociology
169 Sociology	1 Sociology
169 Sociology	3AC Sociology
180C Sociology	1 Sociology
180C Sociology	3AC Sociology
180E Sociology	1 Sociology
180E Sociology	3AC Sociology
151AC Asian American Studies	20A Asian American Studies
151AC Asian American Studies	20B Asian American Studies
180I Sociology	1 Sociology
180I Sociology	3AC Sociology
180P Sociology	1 Sociology
180P Sociology	3AC Sociology
182 Sociology	1 Sociology
183 Sociology	1 Sociology
183 Sociology	3AC Sociology
185 Sociology	3AC Sociology
186 Sociology	1 Sociology
186 Sociology	3AC Sociology
189 Sociology	1 Sociology
189 Sociology	3AC Sociology
190 Sociology	1 Sociology
190 Sociology	3AC Sociology
190AC Sociology	1 Sociology
190AC Sociology	3AC Sociology
194 Sociology	1 Sociology
194 Sociology	3AC Sociology
165 Asian American Studies	20A Asian American Studies
165 Asian American Studies	20B Asian American Studies
C112 Sociology	1 Sociology
C112 Sociology	3AC Sociology
C115 Sociology	1 Sociology
C115 Sociology	3AC Sociology
C126 Sociology	3AC Sociology
C167 Sociology	3AC Sociology
100 Spanish	25 Spanish
102A Spanish	25 Spanish
102C Spanish	102A Spanish
104A Spanish	25 Spanish
104B Spanish	25 Spanish
120 Astronomy	7A Astronomy
120 Astronomy	7B Astronomy
107A Spanish	25 Spanish
107B Spanish	25 Spanish
